Year,Cyclist
2008, Nicole Cooke (GBR)
2009, Tatiana Guderzo (ITA)
2010, Giorgia Bronzini (ITA)
2011, Giorgia Bronzini (ITA)
2012, Marianne Vos (NED)
2013, Marianne Vos (NED)
2014, Pauline Ferrand-Prévot (FRA)
2015, Lizzie Armitstead (GBR)
2016, Amalie Dideriksen (DEN)
2017, Chantal Blaak (NED)
2018, Anna van der Breggen (NED)
2019, Annemiek van Vleuten (NED)
2020, Anna van der Breggen (NED)
2021, Elisa Balsamo (ITA)
2022, Annemiek van Vleuten (NED)
2023, Lotte Kopecky (BEL)
2024, Lotte Kopecky (BEL)
